                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2729,                 3.8254,                 1.6262,                0.31769,                0.18964,                0.14026,                0.06019,                 2.2097,                 2.8011,                 1.6258,             0.00041416,             0.00041416,             0.00041416
                      2,                 2.2293,                 2.8304,                 1.5778,                0.57103,                0.22818,                0.22037,                0.08659,                 2.2357,                 2.2038,                 1.6638,              0.0007897,              0.0007897,              0.0007897
                      3,                 2.1927,                 2.4787,                 1.5773,                0.25488,                0.28552,                0.20262,                0.08189,                 2.2805,                 2.4629,                 1.7127,               0.001124,               0.001124,               0.001124
                      4,                 2.1842,                 2.2921,                 1.5654,                0.35077,                0.28762,                0.22675,                0.08805,                 2.2544,                 2.3251,                 1.6418,              0.0010644,              0.0010644,              0.0010644
                      5,                 2.1435,                  2.134,                   1.53,                0.31554,                 0.3149,                0.23301,                0.09745,                 2.1975,                 2.1519,                 1.6208,              0.0010025,              0.0010025,              0.0010025
                      6,                 2.1111,                 2.0495,                 1.5269,                0.27637,                0.31674,                0.24379,                0.10341,                 2.1496,                 2.0635,                  1.548,             0.00094062,             0.00094062,             0.00094062
                      7,                 2.0723,                 1.9917,                 1.4942,                0.35381,                0.36698,                0.31887,                0.12931,                 2.0225,                 2.0188,                  1.512,             0.00087875,             0.00087875,             0.00087875
                      8,                 2.0093,                 1.9214,                 1.4574,                0.33462,                0.37099,                0.31268,                0.12807,                 2.0332,                 1.9815,                 1.5159,             0.00081688,             0.00081688,             0.00081688
                      9,                 1.9853,                 1.8693,                 1.4357,                 0.3679,                0.36519,                0.30887,                0.12802,                 2.0143,                 1.9208,                 1.4992,               0.000755,               0.000755,               0.000755
                     10,                 1.9728,                 1.8185,                 1.4454,                0.38889,                0.38957,                0.36609,                0.15535,                  1.958,                 1.8358,                 1.4646,             0.00069313,             0.00069313,             0.00069313
                     11,                 1.9311,                 1.8373,                 1.4402,                0.48538,                  0.383,                0.35148,                0.14407,                 1.9424,                 1.9322,                 1.4566,             0.00063125,             0.00063125,             0.00063125
                     12,                 1.8967,                 1.7483,                 1.4259,                0.38808,                0.41947,                0.36609,                0.15429,                 1.9505,                 1.7986,                 1.5069,             0.00056938,             0.00056938,             0.00056938
                     13,                 1.8774,                 1.7072,                 1.4113,                0.39109,                0.42897,                0.36451,                0.15777,                 1.9131,                 1.7843,                 1.4669,              0.0005075,              0.0005075,              0.0005075
                     14,                  1.841,                 1.6517,                 1.3879,                0.43285,                 0.4135,                0.40086,                 0.1734,                 1.9484,                 1.7425,                 1.4436,             0.00044563,             0.00044563,             0.00044563
                     15,                 1.8287,                 1.5937,                 1.3667,                0.47342,                0.48041,                0.43383,                 0.1943,                 1.9001,                 1.6858,                 1.4229,             0.00038375,             0.00038375,             0.00038375
                     16,                 1.8078,                 1.5491,                 1.3654,                0.40603,                0.45827,                0.40215,                0.17603,                 1.8873,                 1.6889,                 1.4041,             0.00032188,             0.00032188,             0.00032188
                     17,                 1.7636,                 1.4935,                 1.3293,                0.46438,                0.47104,                0.44418,                0.19703,                 1.8625,                 1.6323,                 1.3859,                0.00026,                0.00026,                0.00026
                     18,                 1.7412,                 1.4698,                 1.3198,                0.44628,                0.48557,                0.44035,                0.19914,                 1.8681,                 1.6329,                 1.4178,             0.00019813,             0.00019813,             0.00019813
                     19,                 1.7149,                 1.4267,                 1.3054,                0.49859,                0.51359,                0.47538,                0.20534,                 1.8576,                 1.5787,                 1.4034,             0.00013625,             0.00013625,             0.00013625
                     20,                 1.6822,                 1.3832,                 1.2873,                0.49586,                0.51164,                0.48299,                0.21606,                 1.8355,                 1.5546,                 1.3774,             7.4375e-05,             7.4375e-05,             7.4375e-05
