                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.5644,                 1.2116,                 1.2823,                0.57594,                0.56345,                0.59333,                0.26862,                 1.8494,                 1.4565,                 1.4733,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.5393,                 1.1613,                 1.2765,                0.59028,                  0.591,                0.59083,                0.27049,                 1.8202,                 1.4198,                 1.4708,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.5232,                 1.1427,                 1.2652,                0.62763,                0.57633,                0.58495,                0.26097,                 1.8766,                 1.4663,                 1.5179,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.5189,                 1.1497,                  1.261,                0.66183,                 0.5704,                0.59534,                0.27143,                 1.8629,                 1.4387,                 1.4974,               0.000656,               0.000656,               0.000656
                     50,                 1.5242,                 1.1396,                 1.2637,                0.59576,                0.56134,                0.56657,                0.26114,                 1.8806,                 1.4423,                 1.4889,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.5161,                 1.1202,                 1.2544,                0.55445,                0.60811,                0.60079,                0.26698,                 1.8727,                 1.4289,                 1.4927,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.4886,                 1.0874,                 1.2379,                0.62042,                 0.5683,                0.58524,                 0.2732,                 1.8755,                 1.4333,                 1.4971,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.4951,                  1.094,                 1.2518,                0.64321,                0.59846,                0.63171,                 0.2865,                  1.811,                 1.3711,                  1.484,              0.0006065,              0.0006065,              0.0006065
                     54,                  1.481,                 1.0717,                 1.2416,                0.60824,                0.61006,                0.60782,                0.28001,                 1.8368,                 1.3785,                 1.4745,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.4889,                 1.0787,                 1.2423,                0.61748,                0.58118,                0.60367,                0.28229,                 1.8368,                 1.3882,                 1.4684,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.4602,                 1.0527,                  1.229,                 0.6729,                0.59164,                0.63018,                0.29244,                 1.8324,                 1.3629,                 1.4677,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.4529,                 1.0379,                 1.2191,                0.64889,                0.61417,                 0.6307,                0.29877,                 1.8128,                 1.3449,                 1.4459,               0.000557,               0.000557,               0.000557
                     58,                 1.4588,                 1.0568,                  1.225,                0.62213,                  0.612,                0.62833,                0.28589,                 1.8157,                 1.3473,                 1.4496,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.4265,                 1.0181,                  1.206,                0.65321,                0.60044,                0.62699,                0.29302,                  1.816,                 1.3854,                 1.4704,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.4333,                 1.0087,                 1.2136,                0.63697,                0.61261,                 0.6366,                0.29586,                  1.803,                 1.3306,                 1.4658,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.4216,                 1.0031,                  1.208,                0.63747,                0.62441,                0.63387,                0.28639,                  1.829,                 1.3342,                 1.4773,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.4239,                 1.0052,                 1.2011,                0.62685,                0.62835,                0.64184,                0.28554,                 1.8578,                 1.3311,                 1.4847,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.4197,                0.99423,                 1.2008,                0.65155,                0.62587,                0.64484,                0.28937,                 1.8424,                  1.342,                 1.4834,             0.00048275,             0.00048275,             0.00048275
                     64,                  1.414,                0.97644,                 1.1878,                0.64775,                0.60717,                0.62661,                0.29761,                 1.8304,                 1.3485,                 1.4614,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.3972,                0.96207,                 1.1833,                0.67358,                0.62368,                0.63794,                0.29387,                 1.8352,                 1.3153,                 1.4615,               0.000458,               0.000458,               0.000458
                     66,                 1.3908,                0.96008,                 1.1758,                0.61352,                0.59948,                 0.6147,                0.28066,                 1.8482,                 1.3571,                 1.4673,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.3854,                0.94126,                 1.1795,                0.65327,                0.63301,                0.64314,                0.29505,                 1.8593,                 1.3196,                 1.4894,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.3764,                0.95253,                 1.1763,                0.67793,                0.62913,                0.64324,                0.29439,                 1.8429,                 1.3213,                 1.4721,             0.00042087,             0.00042087,             0.00042087
                     69,                 1.3652,                0.93019,                 1.1709,                 0.6348,                0.62039,                0.63749,                0.29727,                 1.8516,                 1.3144,                  1.485,              0.0004085,              0.0004085,              0.0004085
                     70,                 1.3703,                0.92034,                 1.1662,                0.66993,                0.62008,                0.65059,                0.29798,                  1.843,                 1.2931,                 1.4835,             0.00039613,             0.00039613,             0.00039613
                     71,                 1.3564,                0.91166,                 1.1612,                0.67302,                0.63659,                0.64338,                0.29575,                 1.8402,                 1.3159,                 1.4865,             0.00038375,             0.00038375,             0.00038375
                     72,                  1.356,                0.90227,                 1.1606,                0.69301,                0.62074,                0.63853,                0.30335,                 1.8464,                 1.2855,                 1.4854,             0.00037138,             0.00037138,             0.00037138
                     73,                 1.3453,                 0.8981,                 1.1524,                0.65463,                0.63028,                0.63889,                0.29663,                 1.8301,                 1.2838,                 1.4808,               0.000359,               0.000359,               0.000359
                     74,                 1.3252,                0.88506,                 1.1547,                0.67457,                0.60416,                0.63778,                0.30008,                 1.8534,                 1.2933,                 1.4858,             0.00034663,             0.00034663,             0.00034663
                     75,                 1.3216,                0.88593,                 1.1558,                 0.6643,                0.62575,                0.65751,                0.30303,                 1.8321,                 1.2587,                 1.4695,             0.00033425,             0.00033425,             0.00033425
                     76,                 1.3223,                0.87604,                 1.1495,                0.67721,                0.62092,                0.65711,                0.31145,                 1.8324,                 1.2514,                 1.4725,             0.00032188,             0.00032188,             0.00032188
                     77,                 1.3029,                0.86637,                 1.1449,                0.65864,                0.64604,                 0.6596,                0.31858,                 1.8032,                 1.2314,                 1.4588,              0.0003095,              0.0003095,              0.0003095
                     78,                 1.3094,                0.86977,                 1.1411,                0.68246,                0.62702,                0.66121,                0.31301,                 1.8412,                 1.2644,                 1.4772,             0.00029713,             0.00029713,             0.00029713
                     79,                 1.2973,                0.85311,                 1.1302,                0.71968,                0.59274,                0.66091,                0.31263,                 1.8332,                 1.2498,                 1.4756,             0.00028475,             0.00028475,             0.00028475
                     80,                 1.2738,                0.83544,                  1.125,                0.69104,                0.61295,                0.64611,                0.30606,                 1.8368,                 1.2527,                 1.4803,             0.00027237,             0.00027237,             0.00027237
                     81,                 1.2856,                0.83938,                 1.1253,                0.67904,                0.67757,                0.68351,                0.31466,                 1.8236,                 1.2419,                 1.4748,                0.00026,                0.00026,                0.00026
                     82,                 1.2615,                0.82562,                 1.1201,                0.69405,                0.63846,                0.68024,                0.32098,                 1.8285,                 1.2275,                 1.4666,             0.00024762,             0.00024762,             0.00024762
                     83,                 1.2636,                0.81967,                 1.1178,                0.72945,                0.61633,                0.67215,                0.30831,                 1.8454,                 1.2392,                 1.4939,             0.00023525,             0.00023525,             0.00023525
                     84,                 1.2529,                0.82662,                 1.1138,                0.70223,                0.65376,                0.68029,                0.32106,                  1.833,                 1.2167,                 1.4789,             0.00022288,             0.00022288,             0.00022288
                     85,                 1.2508,                0.80913,                 1.1067,                0.68702,                0.64323,                0.68063,                0.31907,                 1.8282,                 1.2277,                 1.4813,              0.0002105,              0.0002105,              0.0002105
                     86,                 1.2465,                0.80858,                 1.1084,                0.72576,                0.61024,                0.66808,                0.32146,                 1.8353,                 1.2592,                 1.4788,             0.00019813,             0.00019813,             0.00019813
                     87,                 1.2348,                0.78994,                 1.1024,                0.72493,                0.60729,                0.66672,                0.31776,                 1.8257,                 1.2674,                 1.4708,             0.00018575,             0.00018575,             0.00018575
                     88,                 1.2226,                 0.7878,                 1.0996,                0.69899,                0.64419,                0.68337,                0.31692,                 1.8592,                 1.2566,                  1.495,             0.00017338,             0.00017338,             0.00017338
                     89,                 1.2298,                0.78797,                 1.1027,                 0.7178,                0.63376,                  0.671,                 0.3209,                 1.8541,                 1.2764,                 1.5007,               0.000161,               0.000161,               0.000161
                     90,                 1.2165,                0.78171,                 1.0972,                0.71993,                0.62558,                 0.6788,                0.31616,                 1.8476,                  1.244,                 1.4947,             0.00014862,             0.00014862,             0.00014862
                     91,                 1.2347,                0.74609,                 1.1133,                0.72602,                0.63092,                0.67762,                0.30716,                 1.8501,                 1.2491,                 1.5023,             0.00013625,             0.00013625,             0.00013625
                     92,                   1.16,                0.67956,                 1.0785,                0.69365,                0.64958,                0.68195,                0.31461,                 1.8435,                 1.2378,                 1.5125,             0.00012387,             0.00012387,             0.00012387
                     93,                 1.1441,                0.66932,                 1.0709,                 0.7142,                0.64159,                0.67709,                0.32119,                 1.8388,                 1.2391,                 1.5007,              0.0001115,              0.0001115,              0.0001115
                     94,                 1.1373,                0.65818,                 1.0601,                0.74213,                0.62688,                0.68129,                0.32245,                 1.8413,                 1.2454,                 1.5031,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                 1.1146,                0.65829,                 1.0581,                0.76668,                0.62432,                0.69292,                0.31876,                 1.8539,                 1.2388,                 1.5115,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                 1.1111,                0.65166,                 1.0599,                 0.7396,                0.63876,                0.67887,                0.31553,                  1.857,                 1.2516,                  1.509,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                 1.0999,                0.64218,                 1.0503,                0.75472,                0.62788,                0.68699,                0.32133,                 1.8541,                 1.2278,                 1.5045,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                 1.0958,                0.64003,                  1.045,                0.77008,                0.61983,                0.68485,                0.31768,                 1.8496,                 1.2303,                 1.5021,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                 1.0913,                0.63405,                 1.0437,                0.76652,                0.62698,                0.69321,                0.32018,                 1.8593,                 1.2459,                 1.5053,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                 1.0764,                0.61993,                 1.0381,                0.75362,                0.63117,                0.69484,                0.32432,                  1.854,                 1.2389,                 1.5058,             2.4875e-05,             2.4875e-05,             2.4875e-05
