                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.117,                 4.6438,                 1.6761,                0.25396,                0.27468,                0.18394,                0.07426,                 2.0765,                 3.1505,                 1.6481,             0.00041416,             0.00041416,             0.00041416
                      2,                 2.0849,                 3.3104,                 1.6522,                0.26685,                0.29136,                0.21612,                0.08202,                 2.1346,                 2.4015,                 1.7422,              0.0008226,              0.0008226,              0.0008226
                      3,                 2.0745,                  2.694,                 1.6565,                 0.3595,                0.25817,                0.22504,                0.09442,                 2.1631,                 2.3769,                  1.749,              0.0012228,              0.0012228,              0.0012228
                      4,                 2.0728,                 2.3671,                 1.6595,                0.27786,                0.31487,                0.22429,                0.08214,                 2.0865,                  2.582,                 1.7147,              0.0012129,              0.0012129,              0.0012129
                      5,                 2.0428,                  2.206,                 1.6444,                0.29163,                0.35551,                0.25039,                0.10174,                 2.0505,                 2.3177,                 1.6988,              0.0012005,              0.0012005,              0.0012005
                      6,                 2.0191,                 2.1238,                 1.6129,                0.36314,                0.30709,                0.24479,                0.10114,                  2.108,                  2.257,                  1.689,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.9806,                 2.0492,                 1.5914,                 0.5855,                0.33396,                0.33621,                0.14285,                 1.9976,                 2.0284,                 1.6073,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.9522,                 1.9676,                  1.575,                0.45815,                0.33738,                0.33623,                0.13203,                 2.0152,                 2.3316,                 1.6133,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.9174,                 1.9183,                  1.549,                0.42805,                0.36042,                0.34375,                0.14467,                 2.0067,                 1.9813,                 1.5946,               0.001151,               0.001151,               0.001151
                     10,                  1.911,                 1.9031,                   1.54,                0.41017,                0.42546,                0.37948,                0.16012,                 1.9721,                 1.9216,                 1.5782,              0.0011386,              0.0011386,              0.0011386
                     11,                  1.881,                 1.8539,                 1.5262,                0.42289,                0.38276,                0.36203,                0.15577,                 1.9574,                 1.9126,                 1.6079,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.8763,                 1.8211,                 1.5201,                0.42155,                0.36899,                0.33765,                0.14009,                   2.02,                 2.1363,                 1.6368,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.8703,                 1.7917,                  1.508,                0.44146,                0.37866,                0.35781,                 0.1547,                 1.9342,                 1.9355,                  1.582,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.8432,                 1.7541,                 1.5013,                0.42991,                0.44676,                0.38599,                 0.1739,                 1.9161,                  1.888,                 1.5661,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.8337,                 1.7228,                 1.4865,                 0.4704,                0.42468,                0.42784,                0.18775,                 1.9377,                 1.7753,                 1.5397,              0.0010768,              0.0010768,              0.0010768
                     16,                  1.814,                 1.7148,                 1.4766,                0.36666,                0.45116,                 0.3718,                0.15987,                  1.969,                 2.0595,                 1.5819,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.8009,                 1.6703,                 1.4628,                0.35938,                0.39844,                0.32631,                0.14478,                 2.0109,                  2.083,                 1.6124,               0.001052,               0.001052,               0.001052
                     18,                 1.7915,                  1.658,                  1.451,                 0.4971,                0.46597,                0.46704,                0.20569,                 1.8878,                 1.7073,                 1.5131,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.7697,                 1.6248,                 1.4374,                0.46244,                0.51731,                0.47991,                0.21792,                 1.8271,                 1.6806,                 1.5098,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.7649,                 1.6091,                 1.4376,                 0.6245,                0.46296,                0.49373,                0.22176,                 1.8677,                 1.6873,                 1.5241,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.7747,                 1.6083,                 1.4383,                0.49947,                0.46798,                0.46805,                0.21136,                 1.8221,                 1.6764,                 1.4807,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.7571,                 1.5767,                  1.429,                 0.5032,                0.48776,                0.48218,                 0.2141,                 1.8201,                 1.6811,                  1.521,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.7527,                 1.5557,                 1.4236,                0.44588,                0.43878,                0.39907,                0.17883,                 1.9097,                 1.8149,                 1.5461,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.7422,                 1.5529,                  1.417,                0.42595,                0.50402,                0.45517,                 0.2006,                 1.9078,                 1.7564,                 1.5446,             0.00096537,             0.00096537,             0.00096537
                     25,                  1.718,                 1.5314,                 1.4072,                0.55474,                0.50144,                0.51209,                0.23715,                 1.7983,                 1.6026,                 1.4678,               0.000953,               0.000953,               0.000953
                     26,                 1.7124,                 1.5093,                 1.4024,                0.41664,                0.49687,                0.46795,                0.20859,                  1.883,                 1.7298,                 1.5235,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.6949,                 1.4615,                 1.3884,                0.44451,                0.52508,                0.48503,                0.20922,                 1.9381,                 1.6957,                 1.5386,             0.00092825,             0.00092825,             0.00092825
                     28,                  1.677,                 1.4468,                 1.3771,                 0.4464,                0.48915,                0.45367,                0.20971,                 1.8642,                 1.7317,                  1.528,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.6842,                 1.4341,                 1.3757,                0.54939,                0.48501,                0.51105,                 0.2284,                 1.9148,                 1.6613,                 1.5181,              0.0009035,              0.0009035,              0.0009035
                     30,                  1.678,                 1.4322,                 1.3626,                 0.4749,                 0.4906,                0.48594,                0.20768,                 1.9285,                 1.6671,                  1.532,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.6721,                 1.4058,                 1.3661,                0.50827,                0.55319,                0.54519,                0.24496,                 1.8261,                  1.575,                 1.4897,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.6484,                 1.3815,                 1.3544,                0.45865,                 0.5376,                0.49039,                0.22457,                 1.8849,                 1.6071,                 1.5095,             0.00086637,             0.00086637,             0.00086637
                     33,                 1.6523,                 1.3791,                 1.3557,                0.50023,                0.53765,                0.51244,                0.22479,                 1.8886,                 1.6282,                 1.5138,               0.000854,               0.000854,               0.000854
                     34,                 1.6521,                 1.3592,                 1.3473,                 0.5184,                0.54457,                0.52388,                0.23947,                 1.8143,                 1.5181,                 1.4809,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.6191,                  1.329,                 1.3365,                0.51175,                0.53638,                0.54032,                0.24755,                 1.8405,                 1.5236,                 1.4826,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.6365,                 1.3487,                 1.3478,                0.50429,                0.56176,                0.56047,                0.24937,                 1.8579,                  1.522,                 1.4969,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.6246,                 1.3102,                 1.3418,                0.56621,                0.55124,                0.55524,                0.24871,                 1.8259,                  1.522,                 1.4731,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.6072,                 1.2857,                 1.3173,                0.57138,                0.54813,                0.56114,                0.26117,                 1.7982,                 1.4865,                 1.4551,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.5928,                 1.2588,                 1.3142,                0.52382,                0.51559,                0.54611,                0.24535,                 1.8416,                 1.4748,                 1.4882,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.5961,                 1.2677,                 1.3117,                0.54528,                0.54627,                 0.5492,                0.23947,                  1.835,                 1.5556,                 1.4926,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.5858,                 1.2604,                 1.3167,                0.58976,                0.54665,                0.56247,                0.25751,                 1.8341,                 1.4966,                 1.4821,               0.000755,               0.000755,               0.000755
                     42,                 1.5902,                 1.2426,                 1.3046,                0.57873,                0.56041,                0.58015,                 0.2583,                 1.8379,                  1.468,                 1.4978,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.5766,                 1.2431,                 1.3004,                0.55379,                0.58082,                0.58501,                0.26415,                 1.8225,                 1.4534,                 1.4508,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.5828,                 1.2199,                 1.3001,                0.54742,                0.56768,                0.55995,                0.25563,                 1.8183,                 1.5207,                 1.4658,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.5523,                 1.1903,                 1.2855,                0.55712,                0.59081,                0.58217,                 0.2652,                 1.8385,                 1.4628,                  1.477,              0.0007055,              0.0007055,              0.0007055
